queryId,query,category,mode,precision,recall,f1,mrr,ndcg,latencyMs,resultCount,relevantCount
cross-002,"Track character introductions across chapters",cross-chapter,aggregated,0.0000,0.0000,0.0000,0.0000,0.0000,24.87,1,0
cross-003,"Locate all fight scenes with Genomes",cross-chapter,leaf-only,0.0000,0.0000,0.0000,0.0000,0.0000,19.81,10,0
cross-003,"Locate all fight scenes with Genomes",cross-chapter,collapsed-tree,0.0000,0.0000,0.0000,0.0000,0.0000,21.28,10,0
cross-003,"Locate all fight scenes with Genomes",cross-chapter,aggregated,0.0000,0.0000,0.0000,0.0000,0.0000,30.70,1,0
cross-004,"Find all references to Dynamis corporation",cross-chapter,leaf-only,0.0000,0.0000,0.0000,0.0000,0.0000,18.34,10,0
cross-004,"Find all references to Dynamis corporation",cross-chapter,collapsed-tree,0.0000,0.0000,0.0000,0.0000,0.0000,18.79,10,0
cross-004,"Find all references to Dynamis corporation",cross-chapter,aggregated,0.0000,0.0000,0.0000,0.0000,0.0000,23.73,1,0
cross-005,"Track Ryan's deaths across the story",cross-chapter,leaf-only,0.0000,0.0000,0.0000,0.0000,0.0000,17.94,10,0
cross-005,"Track Ryan's deaths across the story",cross-chapter,collapsed-tree,0.0000,0.0000,0.0000,0.0000,0.0000,20.83,10,0
cross-005,"Track Ryan's deaths across the story",cross-chapter,aggregated,0.0000,0.0000,0.0000,0.0000,0.0000,23.58,1,0
